name,rating,text
Partick Duck Club,4,"I was on the fence about removing a star but in the end I decided it was more accurate to give 4/5.

We both had the 12 hour Barbary leg and shared a portion of fries. The food was absolutely delicious, the duck more or less fell off the bone and such a tasty sauce.

The star removed was for two reasons
a) the bathroom - it was a tad dark, a shelf was too close to the toilet itself (I banged my arm against it) and the sink has a tendency to splash because the water pressure is too high for the sink design
b) there was a used, slightly fusty straw in between the seat cushions and there were some crumbs already there when we sat down."
Partick Duck Club,5,"What a treat! Great selection of food and drinks and a live buzzing atmosphere . be sure to make a reservation to avoid disappointment. They have a a good non alcoholic drink menu and vegetarian options too. I really enjoyed the boneless chicken and my partner enjoyed the scottosh fry up, the duck fries are delightful too - just the right amount of salt for that extra flavour !"
Partick Duck Club,5,Wonderful breakfast if you want something a little different. We both ordered the duck leg hash. It was surprisingly spicy which I love and the bread was incredible. Service was also fantastic. Can't wait to visit for dinner!
Partick Duck Club,5,"All day breakfast + all day lunch + dinner (we went on Saturday).  Really great, and good coffee too. I paid £20 for eggs benedicte with avocado and bacon + 2 x coffees. We booked ahead for breakfast, I think it gets very busy so plan ahead."
Bothy Glasgow,5,"I went here for the Burns night with a friend and it was a spectacular evening, the atmosphere was wonderful, the staff were really good and attentive.

The food was great but not to the standard I would have expected for a higher end restaurant. I loved the haggis, neeps and tatties though the ham hock & lentil soup was just OK. The cranachan cheesecake was quite nice. My friend loved her salmon starter though felt the sticky toffee pudding was a bit heavy. She also thought the haggis was delicious.

The whisky flight was very good value for money considering the price of the bottles, I had the Isles one and would recommend it. We also had a few bottles of red wine, the cheaper ones tasted better than the more expensive bottle.

I'd definitely go back but would try other options on the menu along with another whisky flight 😀"
Bothy Glasgow,4,"I feel this is a place that rests on their laurels and could use some rejuvenation. The food mains were good, but somewhat salty on the sides and veg. The service was definitely lacking in promptness. Our mains came out nearly 1.5h after arriving (we had starters)."
Bothy Glasgow,4,"It’s a lovely restaurant area and the staff are very pleasant. The menu has several vegetarian and vegan 🌱 options which is great, but I think the quality of those courses is probably a bit below the meat dishes.
Sunday roast is good."
Bothy Glasgow,5,"Really friendly staff, really fancy and tasty food. All arrived quickly. Really nice renovation since was last here. Definitely recommend. Is a little pricey but it’s definitely worth it as a treat as it reflects in the food and decor."
Bothy Glasgow,5,"This is the first time we have visited for many years after tonight’s meal I really can’t understand why we waited so long! Everything was lovely and from my point of view nearly everything was Gluten Free. This is because they create their own sauces and reduce to thicken to enhance the flavour rather than add flour. The menu has game meat on the menu. I had smoked duck starter followed by venison ( see photos). Then my ultimate treat Gluten Free sticky toffee pudding. Our next visit will be soon, no way am I going to leave a long gap like last time 😎"
One Restaurant,5,"Very delicious food and drinks. Quick, modern, and friendly and helpful staff."
One Restaurant,5,"Had afternoon tea today with 3 friends. Food was lovely both choice and amount. Our server Grace  was so attentive and nothing was a bother too her, lovely girl. Setting spacious and very clean. We have been before for afternoon tea and would recommend to anyone for lovely time."
One Restaurant,2,The food was lovely but the service was bad. Had to go and ask for our orders to be taken then again a half hour later to ask where the meal was. When it finally arrived it was delicious but we were too hurried then to really enjoy it.
One Restaurant,5,God food god servive nice and friendly staff. Sorry for my bad England
One Restaurant,3,The food was nice enough but the staff were not very well informed about the food and drink on offer so we're not very helpful when it came to answering questions.
Ubiquitous Chip,5,Amazing decor.  Great drinks and menu.  Loved having a vegetarian tasting menu.  Wish they advised we needed to specify if we wanted a tasting menu when making our reservation.  Glad they were able to accommodate.  Time in between courses was a bit long.  Looking forward to coming back.
Ubiquitous Chip,5,We had the taster menu with the wine flight. The food and wine were a great match and made the evening great. Service was friendly and good.
Ubiquitous Chip,5,"Definitely the place for a fancy occasion, it's otherwise a bit too pricey for a casual meal. But the service and atmosphere are sublime.

Their selection of ice wines are incredible, and the food overall were delicious. They looked small but were actually very filling!"
Ubiquitous Chip,5,"The inside of The Ubiquitous Chip is worth the trip alone, so incredibly stunning. This is a must! Food & wine is awesome, service was really great! So glad we got a reservation here, added a great experience to our trip!"
Ubiquitous Chip,5,"What an awesome find!

Hands down the best food we tasted in Glasgow 🤤 The location is super unique and the atmosphere is chic with a trendy vibe. Easily a romantic date night or dinner with good friends.

Great wine list and all the dishes were elevated with amazing flavor profiles. Their presentation was on point 👌

This will definitely be on our  recommendation list for friends and family traveling to Glasgow.

Would recommend a reservation, but general seating is available. Great location 💯"
La Bonne Auberge,5,"Absolutely AMAZING food, could not even fault it. Cocktails... Well they could have been done better, but you work with what you got. Service lovely. But the food and style were just astounding. Well done to the chefs. Cause the food was bloody fab."
La Bonne Auberge,4,"Amazingly friendly staff, very tasty food, and quick service. Fairly limited menu, but everything we had was quite tasty. Prices were a bit high, but we received a discount as hotel guests. Worth a stop if you're staying at the connected Holiday Inn."
La Bonne Auberge,5,Lovely Christmas menu with hot food and hot plates.  A real difficulty is selection from a number of tempting sounding dishes.  Mist have a twist on the ordinary which makes a repeat visit a near necessity before the festive season ends.
La Bonne Auberge,2,"It’s an ok place with decent staff, if somewhat lacking in atmosphere. They don’t sell any Scottish beer or lager though - as a matter of policy. Just another foreign multiple. They won’t get my custom again."
La Bonne Auberge,5,"Nice restaurant; booked a table during the week for the 2/3 course special. The selections were great and the food was awesome. The staff there were also very patient, as we had a somewhat late booking. I got some minced steak as my main and creme Brule as dessert, can't exactly remember what my friend ordered but I've inserted a photo. I'd definitely recommend the place."
Ka Pao Glasgow,5,"Outstanding.  My general rule is if I do not understand the menu items, I do not eat at the restaurant.  This place is one of the few exceptions.  It was chosen by my friend at the recommendation of a local.  The menu is unique and contains many flavor profiles and items that I have never experienced.  We trusted the chef and went with the sharing menu.  The chef is a real artist who put together robust flavors of seemingly strange or unknown ingredients that really complemented each other.  Dont overthink it.  Have a little faith and try these unique creations.  This is New York, LA, Vegas, Paris quality food in Glasgow.  Plenty of food and reasonably priced."
Ka Pao Glasgow,5,"So glad to have come across this restaurant! I love the concept; which is to a order small selection to share (great if you’re not feeling too hungry and if you want to sample multiple dishes). Definitely recommend the fried chicken, which was so crispy outside and juicy inside, the curries were spot on and deserts were amazing. The staff was great at explaining everything and was very quick to serve us. Definitely would love to come back here again to sample out other items on the menu! 🥰"
Ka Pao Glasgow,5,"Omg the food is amazing! I can be a bit nervous about trying new foods but virtually every dish (my group basically passed around every dish we ordered so we could all try it) was amazing! The oyster mushrooms in particular were delicious. The staff were so lovely and patient. The entire setup of the restaurant is so pretty.

My one complaint would be that I hated paying £4 for a glass bottle of coca-cola 🤣 but honestly everything was so lovely. I'll definitely be back."
Ka Pao Glasgow,5,"So many dishes too choose from & reasonably priced. I went with my brother and we shared 3 dishes each, which is the optimal amount.

Service was very kind & attentive to our table."
Ka Pao Glasgow,5,"""Ventured into the heart of Glasgow's West End to discover Ka Pao, and it's safe to say, this place left an impression! Nestled in a prime location, it boasts a spacious interior with a welcoming atmosphere.

The staff here are aces – speedy and ever-helpful, they make you feel right at home. And let's talk cocktails – they don't disappoint!

Now, onto the grub. For a starter, I tried the salt and Szechuan pepper oyster mushrooms with pickled mooli (vg). It was an explosion of flavors! The mushrooms were perfectly crispy on the outside, tender inside, and that soy lime sauce? A symphony of tastes in every bite.

I wondered if the main course could match up, and I went for the hispi cabbage with cashew nut butter and sriracha. The butter was a delight, melting into the cabbage, but the sriracha had a bit too much swagger, making the dish a tad on the salty side.

For dessert, I wrapped up with the coconut pandan and mango calamansi. It was a tropical paradise on a plate! Nutty flavors danced with the freshness of mango, and it was an absolute delight.

With an experience like this, there's no doubt – I'll be back for more!"
Cail Bruich,5,"The ingredients were exceptional.

Beautifully presented in both plating and ability to allow flavour to shine.

Courses were correctly portioned to ensure a smooth tasting experience.

The casual ambience is matched by the relaxed front of house staff. They read us well and we enjoyed our conversations with them.

Highly recommended. It's obvious to see why the Michelin star hangs here."
Cail Bruich,4,"Great service and atmosphere.
Loved the food - only downside was that two dishes had similar flavour profiles to when I last went in 2021- the main, and the last dessert. The main, which was grouse - just a bit too hearty for me, and was seasoned with 5 spice, which was similar to the duck dish in 2021. The dish was very similar to what I had at the Balmoral earlier in the year... and I had the same issue with that as in, it just needs something to break up the richness of the protein. The dessert was milk and honey, was yummy, but just very similar to the 2021 flavours. The real star of the show for me was the mushroom dish with brioche ... was excellent. The service was spot on as to be expected.

Best wishes. M"
Cail Bruich,5,"The attention to detail is outstanding. From the servers, to the food itself. I thought I would be hungry when it was over but the courses were just enough for lunch. If you want a true world class dining experience, you go here. You will not be disappointed."
Cail Bruich,5,"I was there for the tasting menu with my wife for her birthday and it was simply superb. Every part of the experience from the hard working and knowledgeable staff, who make each of the exquisite and beautifully prepared courses, made to perfection from the extremely hard working and expert chefs in the kitchen with Lorna, with the just the right amount of discrete theatre at the table to make them both exciting and memorable. The attention to detail and craft for each dish component is amazing and the Michelin star is well deserved. We absolutely loved it and will certainly return. Fantastic."
Cail Bruich,5,"Worth the 1* Michelin Guide.
Incredible food, as well classic and reinvented, perfect service from a well-rehearsed team.
It wasn't the first time I've eaten there and certainly not the last!"
Eighty Eight,5,"We had a wonderful meal at this small but cozy restaurant. The food was excellent - bold and full flavours. We love a sharing concept and had 10 plates in total for our group of four. The plates came out at a steady pace, we never felt rushed. Small but good wine selection. The staff was exceptionally friendly and welcoming. We went to other, more expensive restaurants in Glasgow but this was by far our favorite. We spent 245 pounds which included 3 bottles of wine - a very fair price. Absolutely recommend this spot, we will definitely visit again next time we're in the area."
Eighty Eight,5,"This is a lovely little place in the West End of Glasgow. It does small menus and small plates, but everything that comes out of the small kitchen is delicious. Service is friendly and informed. Booking is essential.
We went on a pasta special menu evening."
Eighty Eight,5,Incredible coffee and even better pastries! They have the most gorgeous cups and the atmosphere is really cosy! I personally loved that you were offered a choice of single origin for your coffee and the menu included tasting notes to help you choose. I am keen to return to try out their selections of wine one evening!
Eighty Eight,5,"A new Gem for us.  We have walked by 88 numerous times and always said - looks great we have to try it.  We did - WOW - amazing.  Extremely impressed.   Superb food, flavors out of this world.  Amazing wines by the glass - probably the best wines by the glass I have had in Glasgow - if going by price definitely the best.

Lovely staff, it was quite being a Tuesday right after New Years and we got to chat to the very talented chef and lovely hostess.  Very nice people who love their job.

We will be back to try the cocktail bar and to eat at the restaurant again."
Eighty Eight,4,"Almost a five! The formula is spot on - buzzing vibe, interesting menu, dare to try something different, great staff (even if they are the victim of their own success). 'Small plates in a small restaurant' - yes, a bit on the cramped side. Food was interesting and generally excellent. Not quite sure about all the wine pairings. Reasonable value. Bottom line, absolutely would recommend and look forward to returning."
Ox and Finch,5,"We ordered 8 dishes in total (3 people) and everything was very well-seasoned and delicious! 🤤
Highly recommend the lamb shoulders, 🐑 buffalo mozzarella with kale, cod cheek and poached beam 🐟
Rump steak was okay 🥩 but we loved the sauce
Dessert looked beautiful and tasted surreal🥹
Service was quite quick and the staff were very friendly☺️"
Ox and Finch,5,"We love this place - tapas style, small dish, price is reasonable to share in big groups (do come in big groups so you can try most of the menu - we regretted not having friends in Glasgow to try this). Definitely will come back!

It seemed like they have seasonal menu and change up the dish, so we didn't get the recommended beef caparccio. However, the rest of the menu piqued our interest.

We have:

- Beef tartare (11/10): Presentation was ON POINT! The beef was sweet, umami, the egg yolk was light and airy, croutons added lots of crunchy character and made it so fun in the mouth to eat. The horseradish gave a fresh and refreshing taste. AMAZING!

- Stone bass crudo (7/10): The fish was fresh, chewy, nice + paired well with the sauce. Definitely on the saltier side so we thought it would go well with some white wine. However, we don't like the hazelnut - it wasn't crunchy, the particularly hazelnut taste didn't blend well.

- Spiced haddock (9/10): The spice was amazing + the SAUCE. We licked the dish clean.

- Blood orange and fennel panzanella (9/10): The spice was amazing + the SAUCE. We licked the dish clean.

Even at 4pm, the place still had 4-5 tables so definitely recommend reservations."
Ox and Finch,5,"The perfect dining experience!
This was our second visit to Ox & Finch (the first in pre-Covid times) and it was just as we remembered it; outstanding from start to finish!
Every single dish we ordered was exceptional; you can tell that every dish has been thought through diligently and utilises the best ingredients with outstanding care to detail.  The recommendations from their excellent staff were amazing even though one recommended dish was out of my comfort zone it was perfectly balanced and tasted sublime - so thank you for making the recommendation.
I doubt there is a better restaurant in the UK let alone Glasgow which compares with the experience and food at Ox & Finch - this is not hyperbole on my part, I have dined in everything from casual establishments to Michelin starred restaurants across the world and I, personally, think this is the best restaurant I've ever eaten in - I only wish I lived closer so I could do so more regularly.
The range of dishes allows for any and all palettes to be satisfied, we ordered a number of dishes (some pictured) and they all complemented each other; thanks to the recommendations.
The staff are very attentive without being overbearing and on this particular visit they went above and beyond which was very much unexpected but very much appreciated.  They engage when you wish to and leave you to enjoy in the perfect balance.
I cannot recommend them highly enough, whether a local or on a visit to Glasgow make sure you book in for the perfect dining experience at Ox & Finch."
Ox and Finch,5,"one of the best MICHELIN GUIDE restaurant!

service was the best, explained well on how the food will come (tapas style : out when its cooked) & described the menu well

we ordered :
- fried artichoke (7/10) : mix of salty from the frying oil and sour from the yoghurt
- duck liver parfait (9/10) : very delicious! savoury from the pate combined with the toast & berry jam
- cod cheeks (9/10) : texture’s nice & a bit chewy just like scallop
- grilled coley (4/10) : too salty for us unfortunately
- slow cooked lamb shoulder (10/10) : MUST TRY! very delicious, lamb was very tender & juicy, combined with the herbs it was like HEAVEN
- pan seared pork fillet (9/10) : delicious & tasty, pork is juicy & succulent
- dry rump steak (9/10) : peppercorn sauce compliments the juicy meat

i recommend u to reserve online before visiting as it gets crowded"
Ox and Finch,5,"Went on a Friday evening. Had a really good time. The food was good and we loved the dishes. Great value for money and good portion sizes.

I recommend the crab tubetti, rump steak, slow cooked lamb and the feta cheese flat bred, absolutely delicious.

Server was friendly. If we are ever back in the city would definitely try again."
La Vita,4,"Italian food with lots of options.
Got the garlic bread for starter but they’re a bit burnt but still nice, also got calamari, which wasn’t fried enough for our liking, the haggis arancini didn’t have much flavour.

The tagliatelle calabrese is very nice lots of sauce and sausage, very flavourful! I really recommend this! My friend had the Quattro stagioni which she found alright. I love how you can get half pasta here, very accommodating.

For dessert I had the chocolate covered strawberry tart. The tart is quite dense, is massive portion, I had a lot of whip cream in the middle. My friend got the cheese cake which looking amazing but she found it too sweet.

Tried the festive cocktail merry kiss mas, it was very sweet, if you have a sweet tooth it’s be perfect for you. The clausmopolitan is nice. I love the cocktail menu here, you have so many options to choose from.

The menu is big with good varieties. There’s plenty of seatings but not much leg room upstairs, the corridors are narrow, the decor is very festive, Craig who served us is great!"
La Vita,5,I enjoyed my experience here. The food was 10/10 so good so yummy. The staff are AH-mazing! So friendly and so helpful. Would definitely recommend and would definitely come back.
La Vita,1,"some staffs are nice but some are being cool I dont know why，my pasta is super less flavor and the chicken inside is hard as stone. Also my daily soup is salty，pizza is burnt and sour，so extreme，amazing，we were told only 45mins to have the meal，then they deliver our desert first，then spaghetti ,then soup, then dinner bread😅First time eating upside down，one staff being super inexorability to us but so nice to the costumers behind us and keep chatting，meanwhile me and my friend only have 10mins to eat😅 I dont even do anything or say anything，this is rude，bad experience i have to say. My first time leave comment on google map"
La Vita,5,""" Life is Beautiful "" @ La Vita as are the meals and service. They handle the larger demands at this busy time of the year effortlessly.
Their traditional italian meals are exceptional but you`ve got to try their traditional scottish breakfast : )"
La Vita,4,"I came here to have breakfast and loved the food. We came here after walking a lot to find a place to get some classy breakfast, and it was definitely worth it. The waiters were very friendly and the food arrived pretty quickly. Next time I will be here to get some nice lunch or dinner."
"The Ivy Buchanan Street, Glasgow",2,"Not sure if was because it was the week between Christmas and New Year, but the food wasn't anywhere near as good as our last visit.

The prawn and lobster cocktail was lacking in any flavour, with the prawn tasting like they had just been defrosted. The chicken was over cooked and very dry. Finally the profiteroles tasted stale.

Bad on this visit, I don't think I'd return."
"The Ivy Buchanan Street, Glasgow",2,"💀FOOD 2/10💀 I dont know why ppl bang on about this chain. Great decor. Great foodpresentation. Poor food quality.Overpriced.
🙂SERVICE 8/10
💀TOILETS 💀 you what they say establishments with unkept unsanitary toilets, the food aint gonna be clean nor quality.

I got the eggs benedict - and the muffins were stale, with no life in them. Not toasted. Nothing.
The haggis bon bons, were a waste sadly. Not much flavour in them. Pretty sure the ""fresh juice"" is from a bottle, too.
I think the only thing i enjoyed was my tea."
"The Ivy Buchanan Street, Glasgow",5,What a beautiful restaurant sends you back to the early 39-40's .staff are immaculately dressed and so polite and informative about food and wines .we had set 2 course menu with a lovely bottle of white .I had salmon with dark seeded pumpernickel bread and shepards pie for main .Well done everyone
"The Ivy Buchanan Street, Glasgow",2,"Very disappointing experience I'm afraid!
I was at Ivy Glasgow before but this time they weren't able to live up to expectations sadly.. Soufflé, smoked salmon and chocolate bomb options were all ran out! I mean this is Xmas time if a restaurant at this level doesn't know  their market and demand after all these years then I'm not sure who should be! The food was lacking the wow factor when came out, we weren't particularly impressed with the look and taste which is very disappointing when you've set up such high bar for yourself!
Service wasn't great either you could see the staff are exhausted and not particularly thrilled to see you! the first servant wasn't so focused so accidentally dropped the knife on the table which could've easily ended in an incident; think he then preferred not to carry on with the service to us as poor guy was so embarrassed, and so passed us over to his colleague..
When desert was served we noticed a soiled teaspoon which wasn't helping at all after all the experience we had already!
And to complete the package when we were leaving and went to grab our umbrella at the entrance realised that it's gone! When asked a member of staff we were told it could've been lifted by someone! I mean are you serious?! At least don't offer customers to leave their umbrella at the door if you can't guarantee the security! Got really pissed by this as it was a sturdy brand new umbrella we got to use for the visit and now it's gone after a single use! Was raging and it ruined the whole experience even more so!
So no not a great experience this time round for us!
All the fancy stuff you see on the Instagram page is just for the sake of social media!
All that said, I do love the drinks and cocktails though and certainly do admire the interior design and ambience.."
"The Ivy Buchanan Street, Glasgow",4,Excellent service and very good food.  Great to see The Ivy doing a fixed price 2 course menu.   Portions could have been a bit more substantial
Stravaigin,4,"Excellent place. Even though I didn't know you had to make a reservation, they seated us at the bar area and served great food. Selection was limited because they had a ""busy weekend"" and was out of steak and some other assorted menu items. I had the haggis to start and pork belly as a main. Superb!"
Stravaigin,5,"After a brisk walk through Kelvin Park we arrived at Stravaigin, the Cellar. We were seated after my partner managed to smash a glass through careless control over her hand bag. We were presented with menus and I chose the Haggis Neaps and Tatties which came as three equal sized portions with sesame seeds. I followed this with steak, chips and pepper corn sauce. The waiter checked back on us a few times which was a nice touch. The desert was a small meringue with a sorbet and so apple shavings???
We had coffee, paid the bill and thanked the waiter.
This is a nice place to eat in a busy local venue."
Stravaigin,5,"Great atmosphere, I went in the Christmas time and the restaurant was super cute all covered by lights. The food was ok and the staff was super friendly."
Stravaigin,2,"This restaurant was highly recommended, we came but didn't book a table, we were seated behind the bar and we understood because it was our mistake, but the waiters bypassed us and ignored us, they always left somewhere, we couldn't even call anyone . When it came time to eat, no one informed us that the food we ordered would be so spicy, the menu did not say so. The mussels were peppered with jalapeño, which was not mentioned on the menu, and the curry prawns were super spicy. When we reported this to the waiter, he said that we should have warned him and he would have brought us yogurt to reduce the burning sensation, this is very funny, we didn’t  expect this, we expected everything, but not this response. The atmosphere was very good, but the evening was completely ruined."
Stravaigin,5,"Had a fab meal today for Sunday lunch! Felt like royalty and the food was outstanding!
The staff were so attentive especially Ilaeira and Morven, kitchen staff went the full hog and beef roast was just so tender, not sure how they achieve such excellence in taste and flavour but everything was cooked to perfection. Cocktails were also top notch especially the espresso martini! Could have had more if we had more time. Really enjoyed sitting by the cosy fireplace and was nice to be accompanied by a few waggy tails next to us. Really was ant least 5 stars all round, keep being authentic and original!"
Six by Nico Finnieston,5,"Fabulous experience sampling The Mad Hatter's Tea Party menu. When each course is served it's expertly explained by serving staff and accompanied by a little theatre.

Absolutely delicious food served in beautifully decorated surroundings. I have read some reviews indicating that the tables are extremely close together. This is true but we didn't find it overly intrusive. Overall a fantastic experience."
Six by Nico Finnieston,5,"Thoroughly enjoyed our dinner here. All 6 courses were very tasty, and we thought the wine tasting was fab. Took around 2 hours but did not feel like that at all!"
Six by Nico Finnieston,5,"Visited here as a treat as it is a bit pricier than some of the local restaurants, but I've wanted to go for a while, and honestly it didn't disappoint. The restaurant is small and usually fully booked, so getting a walk in is unlikely. The staff are attentive and polite without being overbearing. The Thai fusion menu was the theme when we went, the food portions are small, but it is a tasting menu, you are there for the experience, not to get stuffed full. I thought the food was delicious and creative with lots of different elements making up each dish. Being a bit of a fussy/limited eater I wanted to try foods I wouldn't normally eat, and the pumpkin spring roll gave me a whole new appreciation I didn't know was possible for pumpkin. I normally don't eat fish either, but the pan seared bass has completely changed my mind. If you want something a bit different to treat yourself, with a friendly and relaxed atmosphere, then definitely try this place."
Six by Nico Finnieston,3,"I love the idea of Six by Nico. But if you aren’t keen on one or two courses it feels expensive for the rest of the meal.

Dishes were well cooked, albeit not very hot, but well presented and full of interesting flavors.  I don’t like service change included on the bill, (although it’s optional) nor the charity donation."
Six by Nico Finnieston,5,"Great experience!
I came here with my family and had a great time. The service was fantastic, the vibe was very happy and excited and the food was good.
The dishes were very creative, interesting to look at tasty.
We all had the matching wines which paired very well. There was a matching cocktail for your first drink which was a nice change as well.

Tasting menu, matching wines, 4x extra cocktail and 2x extra snack course was around £360 for 4 of us.

Had a great time with my family but don't have any intentions coming back for a while, not sure why, just left a little underwhelmed by the flavours."
Gloriosa,5,"Our first time here and this is one of the best meals I have had for a while. Delicious, fresh, seasonal and well executed.

There was lots on the menu we wanted to try. We will have to come back to try some more dishes.

Favourites for me were the artichoke and the cacio e pepe. The red cabbage also. Oh and all of the rest 😅

It was a little pricy but I think it was worth it."
Gloriosa,5,Superb menu and drinks list: really imaginative. Everything was beautifully cooked. The fish was outstanding and the vegetable dishes very flavoursome. The plates are not really small/sharing plates but are all quite big: 2 per person is more than enough.  Very nice candlelit ambience.
Gloriosa,5,"This is the second time me and my partner have come here. It's a treat for us usually as we like to try many of the dishes and splurge. Its reasonably priced for the quality of the food. The food is delicious, beautiful, local and great recipes that you wouldn't find anywhere else. Staff are lovely, drinks are fab!"
Gloriosa,5,"Very delicious, everything fresh and seasonal and the best focaccia I have tried Bit on the expensive side but def worth it!"
Gloriosa,3,"I have been excited to visit Gloriosa for a long time and I am afraid I was quite dissappointed. We started off with foccaccia and it was very fluffy and delicious. It also came with a good portion however I expected a little bit more than just very salty olive oil to go with it. It is common to have a good dip with some herbs and spices.

We had their asparagus dish which was great with a citrus sauce, soft boiled eggs and a delicious creamy side with it. Their mussles toast were good as well.

We have tried their pork ragu, it was delicious. We have also ordered their tonnarelli pasta which was way too salty. Both pastas were too al dante for my liking.

Desserts were a huge dissapointment. I have never had a worse creme caramel in my life and it is one of my favorite desserts. Caramel was too bitter at a stage that it did not taste good anymore. You could not enjoy the creme caramel itself as it was so bland. We were confused as to where all the sugar went. The raspberry dessert was just alright.

On top of that they have this cheeky ""optional"" service fee. If they want to make it optional, they should let people tip however much they want rather than putting it on the bill.

Overall, although food was alright, the price performance balance was totally off. It unfortunately did not meet my expectations. Atmosphere is not so nice either. I have been to better restaurants with better service, better food and better ambiance for cheaper price. Gloriosa is not worth it."
The Gannet,5,"Fantastic tasting menu and matching wine. Smashing service with dishes and wines being explained. All the dishes were great, tasty and leaving you wanting some more. Matching wines we very good, great selections from Eastern Europe, some you just would t expect. We also added a fantastic cheese course and took a vegetarian option, instead of the beef tartare… service was excellent in this regard, nothing was a problem. Great night all round. We’ll be back for more."
The Gannet,5,"An unbelievable experience! The food was utterly sublime, with every bite being a taste sensation. We took the 6 course tasting menu, as was an afternoon sitting, we didn’t choose the wine pairings. The cocktails were amazing, from a new twist on an old fashioned to the pink fizz!
The staff were great, they explained every course in detail and were very attentive throughout and we never felt rushed, even though we were there for over 3 hours.
Brilliant food in a lovely setting, we can’t wait to return!"
The Gannet,5,"I’ve been there twice - one for tasting menu and another for Burn’s Night, and I do recommend everyone to come as they are quite amazing! From cocktails, wines, foods to the coffee after meal, I cannot tell which one is the best because all of them are impressive!"
The Gannet,5,"The whole experience was amazing. The staff was very friendly and professional. The food was great, never tasted everything better. The drinks where very tasty as well. Definitely will come back.
*Thank you for the one of the best food experience of my life*"
The Gannet,5,"Received a voucher for my birthday. Was an amazing meal! Food was top notch. Well deserved of the 3 rosettes. Servers were pleasant and knowledgeable. Only thing I would say re the service (and this is me being picky), sometimes if one of us got up to the bathroom, we would come back and our plates were already served which meant we missed out on the explanations, and also clearing bread cutlery away whilst we were eating the next course. This didn't detract from the overall experience though and feel like tiny little tweaks to the service would get them to a Michelin star."
Sarti,5,"An almost perfect dining experience, from the atmosphere, to the food to the service all impeccable. Would be lovely to have a date night here. The pizza and the pasta that we had was simply divine."
